frame.number,frame.interface_name,frame.time_epoch,ip.id
307,s1-eth2,1643595143.272132403,0x000048e2
308,s1-eth2,1643595143.275524466,0x000048e3
309,s1-eth2,1643595143.278918891,0x000048e4
310,s1-eth2,1643595143.283305502,0x000048e5
311,s1-eth2,1643595143.294510716,0x000048e7
312,s1-eth2,1643595143.297492336,0x000048e8
313,s1-eth2,1643595143.299313803,0x000048e9
314,s1-eth2,1643595143.301138582,0x000048ea
315,s1-eth2,1643595143.303396494,0x000048eb
316,s1-eth2,1643595143.305400908,0x000048ec
317,s1-eth2,1643595143.307455564,0x000048ed
318,s1-eth2,1643595143.309502059,0x000048ee
319,s1-eth2,1643595143.312757616,0x000048ef
320,s1-eth2,1643595143.315093658,0x000048f0
321,s1-eth2,1643595143.318471072,0x000048f1
322,s1-eth2,1643595143.324701357,0x000048f2
323,s1-eth2,1643595143.327433144,0x000048f3
324,s1-eth2,1643595143.332705773,0x000048f4
325,s1-eth2,1643595143.336261238,0x000048f5
326,s1-eth2,1643595143.339340919,0x000048f6
327,s1-eth2,1643595143.342602795,0x000048f7
328,s1-eth2,1643595143.345840923,0x000048f8
329,s1-eth2,1643595143.347958148,0x000048f9
330,s1-eth2,1643595143.350057745,0x000048fa
331,s1-eth2,1643595143.352321846,0x000048fb
332,s1-eth2,1643595143.355663363,0x000048fc
333,s1-eth2,1643595143.359340855,0x000048fd
334,s1-eth2,1643595143.361622394,0x000048fe
335,s1-eth2,1643595143.365032573,0x000048ff
336,s1-eth2,1643595143.368097750,0x00004900
337,s1-eth2,1643595143.371433531,0x00004901
338,s1-eth2,1643595143.375225416,0x00004902
339,s1-eth2,1643595143.378252850,0x00004903
340,s1-eth2,1643595143.381860897,0x00004904
341,s1-eth2,1643595143.384838153,0x00004905
342,s1-eth2,1643595143.389103698,0x00004906
343,s1-eth2,1643595143.394147912,0x00004907
344,s1-eth2,1643595143.395441881,0x00004908
345,s1-eth2,1643595143.398869928,0x00004909
346,s1-eth2,1643595143.401790798,0x0000490a
347,s1-eth2,1643595143.404948315,0x0000490b
348,s1-eth2,1643595143.408379298,0x0000490c
349,s1-eth2,1643595143.411681057,0x0000490d
350,s1-eth2,1643595143.414606682,0x0000490e
351,s1-eth2,1643595143.418391655,0x0000490f
352,s1-eth2,1643595143.421212808,0x00004910
353,s1-eth2,1643595143.424979854,0x00004911
354,s1-eth2,1643595143.427959717,0x00004912
355,s1-eth1,1643595143.398008428,0x00004909
356,s1-eth1,1643595143.400620204,0x0000490a
357,s1-eth1,1643595143.404121055,0x0000490b
358,s1-eth1,1643595143.407183968,0x0000490c
359,s1-eth1,1643595143.410472775,0x0000490d
360,s1-eth1,1643595143.413795646,0x0000490e
361,s1-eth1,1643595143.417141232,0x0000490f
362,s1-eth1,1643595143.420490129,0x00004910
363,s1-eth1,1643595143.423842203,0x00004911
364,s1-eth1,1643595143.427121740,0x00004912
365,s1-eth1,1643595143.430475214,0x00004913
366,s1-eth1,1643595143.433818347,0x00004914
367,s1-eth1,1643595143.437171663,0x00004915
368,s1-eth1,1643595143.440697624,0x00004916
369,s1-eth1,1643595143.445667987,0x00004917
370,s1-eth1,1643595143.447164469,0x00004918
371,s1-eth1,1643595143.450454704,0x00004919
372,s1-eth1,1643595143.454057327,0x0000491a
373,s1-eth1,1643595143.457363531,0x0000491b
374,s1-eth1,1643595143.460665527,0x0000491c
375,s1-eth1,1643595143.464000865,0x0000491d
376,s1-eth1,1643595143.467290272,0x0000491e
377,s1-eth1,1643595143.470607063,0x0000491f
378,s1-eth1,1643595143.473933410,0x00004920
379,s1-eth1,1643595143.477252267,0x00004921
380,s1-eth1,1643595143.480588925,0x00004922
381,s1-eth1,1643595143.483835067,0x00004923
382,s1-eth1,1643595143.487251344,0x00004924
383,s1-eth1,1643595143.490584223,0x00004925
384,s1-eth1,1643595143.493921688,0x00004926
385,s1-eth1,1643595143.499405283,0x00004927
386,s1-eth1,1643595143.500484360,0x00004928
387,s1-eth1,1643595143.503831158,0x00004929
388,s1-eth1,1643595143.507129273,0x0000492a
389,s1-eth1,1643595143.510492963,0x0000492b
390,s1-eth1,1643595143.513805523,0x0000492c
391,s1-eth1,1643595143.517140123,0x0000492d
392,s1-eth1,1643595143.520462956,0x0000492e
393,s1-eth1,1643595143.523931163,0x0000492f
394,s1-eth1,1643595143.527282229,0x00004930
395,s1-eth1,1643595143.530608293,0x00004931
396,s1-eth1,1643595143.533854972,0x00004932
397,s1-eth1,1643595143.537279484,0x00004933
398,s1-eth1,1643595143.540882751,0x00004934
399,s1-eth1,1643595143.543845647,0x00004935
400,s1-eth1,1643595143.547177153,0x00004936
401,s1-eth1,1643595143.550618906,0x00004937
402,s1-eth1,1643595143.553789722,0x00004938
403,s1-eth1,1643595143.557304470,0x00004939
404,s1-eth1,1643595143.560645361,0x0000493a
405,s1-eth1,1643595143.563982574,0x0000493b
406,s1-eth1,1643595143.567216179,0x0000493c
407,s1-eth1,1643595143.570692979,0x0000493d
408,s1-eth1,1643595143.574100079,0x0000493e
409,s1-eth1,1643595143.577225837,0x0000493f
410,s1-eth1,1643595143.580916758,0x00004940
411,s1-eth1,1643595143.584034100,0x00004941
412,s1-eth1,1643595143.587450544,0x00004942
413,s1-eth1,1643595143.590677979,0x00004943
414,s1-eth1,1643595143.593985838,0x00004944
415,s1-eth1,1643595143.597273284,0x00004945
416,s1-eth1,1643595143.600628540,0x00004946
417,s1-eth1,1643595143.603906742,0x00004947
418,s1-eth1,1643595143.607296536,0x00004948
419,s1-eth1,1643595143.610699291,0x00004949
420,s1-eth1,1643595143.613869326,0x0000494a
421,s1-eth1,1643595143.617308353,0x0000494b
422,s1-eth1,1643595143.620595372,0x0000494c
423,s1-eth1,1643595143.623949044,0x0000494d
424,s1-eth1,1643595143.627256654,0x0000494e
425,s1-eth1,1643595143.630468271,0x0000494f
426,s1-eth1,1643595143.633897339,0x00004950
427,s1-eth1,1643595143.637583912,0x00004951
428,s1-eth1,1643595143.640608911,0x00004952
429,s1-eth1,1643595143.643867437,0x00004953
430,s1-eth2,1643595143.431264003,0x00004913
431,s1-eth2,1643595143.434826826,0x00004914
432,s1-eth2,1643595143.437936012,0x00004915
433,s1-eth2,1643595143.442022305,0x00004916
434,s1-eth2,1643595143.447065528,0x00004917
435,s1-eth2,1643595143.448276961,0x00004918
436,s1-eth2,1643595143.451613308,0x00004919
437,s1-eth2,1643595143.454906881,0x0000491a
438,s1-eth2,1643595143.458554491,0x0000491b
439,s1-eth2,1643595143.464257815,0x0000491c
440,s1-eth2,1643595143.467868051,0x0000491d
441,s1-eth2,1643595143.470477236,0x0000491e
442,s1-eth2,1643595143.473677033,0x0000491f
443,s1-eth2,1643595143.476914213,0x00004920
444,s1-eth2,1643595143.479398289,0x00004921
445,s1-eth2,1643595143.482581095,0x00004922
446,s1-eth2,1643595143.485352941,0x00004923
447,s1-eth2,1643595143.488432689,0x00004924
448,s1-eth2,1643595143.491741324,0x00004925
449,s1-eth2,1643595143.495240841,0x00004926
450,s1-eth2,1643595143.500836592,0x00004927
451,s1-eth2,1643595143.501833159,0x00004928
452,s1-eth2,1643595143.505107895,0x00004929
453,s1-eth2,1643595143.508307495,0x0000492a
454,s1-eth2,1643595143.511480431,0x0000492b
455,s1-eth2,1643595143.514847605,0x0000492c
456,s1-eth2,1643595143.518713280,0x0000492d
457,s1-eth2,1643595143.522355792,0x0000492e
458,s1-eth2,1643595143.525567369,0x0000492f
459,s1-eth2,1643595143.528792055,0x00004930
460,s1-eth2,1643595143.532182043,0x00004931
461,s1-eth2,1643595143.535404551,0x00004932
462,s1-eth2,1643595143.539121647,0x00004933
463,s1-eth2,1643595143.542710236,0x00004934
464,s1-eth2,1643595143.545385000,0x00004935
465,s1-eth2,1643595143.548952844,0x00004936
466,s1-eth2,1643595143.551574753,0x00004937
467,s1-eth2,1643595143.554911600,0x00004938
468,s1-eth2,1643595143.558337574,0x00004939
469,s1-eth2,1643595143.561872262,0x0000493a
470,s1-eth2,1643595143.564912497,0x0000493b
471,s1-eth2,1643595143.568231059,0x0000493c
472,s1-eth2,1643595143.572133390,0x0000493d
473,s1-eth2,1643595143.575368313,0x0000493e
474,s1-eth2,1643595143.578358796,0x0000493f
475,s1-eth2,1643595143.582158653,0x00004940
476,s1-eth2,1643595143.585415215,0x00004941
477,s1-eth2,1643595143.588812904,0x00004942
478,s1-eth2,1643595143.593661700,0x00004943
479,s1-eth2,1643595143.597063282,0x00004944
480,s1-eth2,1643595143.600451567,0x00004945
481,s1-eth2,1643595143.604042671,0x00004946
482,s1-eth2,1643595143.606748875,0x00004947
483,s1-eth2,1643595143.611530442,0x00004948
484,s1-eth2,1643595143.614268649,0x00004949
485,s1-eth2,1643595143.616733967,0x0000494a
486,s1-eth2,1643595143.620429538,0x0000494b
487,s1-eth2,1643595143.622636595,0x0000494c
488,s1-eth2,1643595143.626414379,0x0000494d
489,s1-eth2,1643595143.628797316,0x0000494e
490,s1-eth2,1643595143.631948050,0x0000494f
491,s1-eth2,1643595143.635508194,0x00004950
492,s1-eth2,1643595143.639332500,0x00004951
493,s1-eth2,1643595143.642557901,0x00004952
494,s1-eth2,1643595143.645372801,0x00004953
495,s1-eth2,1643595143.648779695,0x00004954
496,s1-eth2,1643595143.652014097,0x00004955
497,s1-eth2,1643595143.655374997,0x00004956
498,s1-eth2,1643595143.658705985,0x00004957
